ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
2.75,2.75,2.75,2.15,2.15,2.25,2.25,2.25,1.5,3.0,2.75,2.0,3.0,3.0,1.75,3.0,2.25,2.75,2.75,2.75,2.5,2.5,3.0,2.0,2.0,1.25,2.0,2.85,2.205,2.541666667,2.75,2.15,2.25,2.3125,2.464285714,0
3.0,3.0,2.75,2.5,2.75,2.0,2.75,2.25,2.75,2.25,2.75,2.0,2.75,3.0,1.75,3.0,2.25,2.5,3.0,2.75,2.25,2.5,3.0,1.9,1.5,1.0,1.75,2.9,2.375,2.458333333,2.75,2.625,2.333333333,2.4375,2.367857143,1
3.0,3.0,2.75,2.1,2.0,2.5,2.5,2.0,2.0,2.5,2.75,2.5,2.25,3.0,2.25,2.75,2.5,2.5,2.75,2.75,2.5,2.5,3.0,1.9,1.25,1.25,2.25,2.8,2.31,2.583333333,2.666666667,2.05,2.333333333,2.4375,2.367857143,0
2.0,2.25,2.25,1.75,2.25,1.5,2.75,2.0,2.25,2.25,2.75,2.0,2.5,1.5,2.25,2.75,1.75,2.5,2.75,2.75,2.5,2.25,3.0,1.9,1.5,1.0,2.25,2.4,2.175,2.166666667,2.666666667,2.0,2.083333333,2.3125,2.207142857,1
1.25,2.0,1.5,2.25,2.25,1.25,2.0,2.0,2.0,2.0,2.5,1.75,1.75,1.75,1.75,1.75,1.5,2.25,1.75,2.25,2.0,2.0,2.75,1.75,1.0,1.0,1.5,1.85,1.975,1.75,2.083333333,2.25,1.75,2.0625,1.803571429,1
3.0,2.75,2.5,1.95,2.0,2.0,2.0,2.0,2.5,2.75,2.25,2.75,2.5,3.0,2.5,2.75,2.25,2.5,2.75,3.0,2.25,2.35,2.75,1.75,2.0,1.25,2.5,2.7,2.27,2.516666667,2.75,1.975,2.0,2.5625,2.4,1
2.75,2.75,2.75,1.9,2.5,2.5,2.25,2.25,2.75,3.0,2.3,2.25,2.75,2.75,2.0,2.75,2.0,2.5,3.0,2.5,2.5,2.25,2.75,1.9,1.5,1.25,1.75,2.75,2.37,2.333333333,2.666666667,2.2,2.333333333,2.575,2.314285714,1
2.75,2.75,2.25,1.95,1.75,2.25,2.5,2.25,2.25,2.5,2.4,1.75,2.75,2.5,1.75,2.75,1.5,3.0,2.5,2.5,2.25,2.5,3.0,1.85,1.25,1.5,2.25,2.7,2.135,2.291666667,2.666666667,1.85,2.333333333,2.225,2.257142857,1
2.0,2.5,1.5,1.75,1.5,1.75,2.5,2.25,2.25,2.5,2.5,2.0,1.75,2.25,2.25,2.75,1.25,2.0,2.75,2.5,2.5,2.25,2.75,2.0,2.25,1.5,2.5,2.1,2.125,2.25,2.416666667,1.625,2.166666667,2.3125,2.196428571,1
2.55,2.7,2.0,2.05,2.15,1.9,2.75,1.75,1.95,2.6,2.3,1.5,2.25,2.25,2.5,1.75,2.0,2.75,1.5,2.5,1.75,2.25,2.75,2.0,2.25,1.25,2.75,2.45,2.145,2.125,2.25,2.1,2.133333333,2.0875,2.125,1
2.75,2.75,2.0,1.8,1.5,2.25,3.0,2.0,2.25,2.75,2.55,2.5,2.0,2.5,2.25,2.75,2.25,2.25,2.5,2.5,2.5,2.25,3.0,2.0,2.25,1.5,2.25,2.5,2.285,2.416666667,2.416666667,1.65,2.416666667,2.5125,2.321428571,1
3.0,3.0,2.5,2.0,2.25,1.75,2.25,2.5,2.75,2.25,1.5,2.5,2.75,3.0,1.5,2.5,2.5,2.75,3.0,2.5,2.25,2.5,3.0,1.75,1.25,1.0,2.0,2.85,2.125,2.458333333,2.75,2.125,2.166666667,2.25,2.303571429,1
2.5,2.5,1.5,1.75,2.75,1.75,2.25,2.0,1.75,2.25,2.5,2.0,2.5,2.5,1.75,2.25,1.5,2.25,2.25,2.5,2.0,2.0,3.0,1.9,1.5,1.0,2.0,2.4,2.075,2.041666667,2.333333333,2.25,2.0,2.125,2.064285714,1
2.75,2.75,1.75,1.75,1.5,1.75,2.25,2.0,2.5,2.25,2.55,2.0,2.0,2.0,1.75,2.25,1.25,2.0,2.25,2.25,2.0,2.5,2.25,1.75,2.25,1.5,1.75,2.3,2.03,1.958333333,2.166666667,1.625,2.0,2.325,2.0,1
2.75,2.85,2.75,2.1,2.2,2.1,3.35,2.5,2.0,5.0,3.0,2.25,2.75,3.0,3.0,3.0,2.75,2.75,2.5,3.0,2.75,2.25,2.5,2.4,2.4,1.8,3.0,2.72,2.75,2.791666667,2.75,2.15,2.65,3.0625,2.632142857,1
